trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.5, 'e': 0.9934925937846348}",25,0,-78.60275122607429,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.9933727767835802}",20,0,-90.02028629530527,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9932518704293176}",20,0,-66.82362677318064,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.9931298748544356}",30,0,-118.3523771610397,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.993006790192717}",25,0,-134.58627114922257,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.9928826165791389}",20,0,-49.963767028236724,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.9927573541498728}",20,0,-92.23789867966556,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.992631003042284}",20,0,-119.37876619141066,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.9925035633949318}",20,0,-70.3566843936496,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.9923750353475691}",25,0,-216.67005940561023,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.9922454190411425}",35,0,-52.106991997974,"{0: 28, 1: 2, 2: 4, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.9921147146177918}",20,0,-122.17492366433505,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9919829222208504}",20,0,-99.7433307668034,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9918500419948443}",25,0,-87.65437007474462,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.991716074085493}",30,0,-149.22155824520692,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.9915810186397083}",20,8,-90.2330712658706,"{0: 5, 1: 3, 2: 2, 3: 1, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.9914448758055948}",20,0,-28.673857418703072,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9913076457324497}",25,0,-70.02299010631985,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.9911693285707622}",20,0,-76.90760015037158,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9910299244722139}",25,0,-35.50071237663993,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9908894335896782}",30,0,-219.70507407121184,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
130,False,"{'a': 0.5, 'e': 0.9907478560772203}",20,0,-77.59389711476037,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.9906051920900969}",20,0,-133.5324911627297,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.5, 'e': 0.9904614417847565}",20,0,-61.79153986631196,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.9903166053188385}",20,0,-14.603254637392931,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9901706828511737}",25,0,-106.4796173712581,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.9900236745417837}",20,0,-26.849100152946345,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9898755805518809}",20,0,-159.68293330426368,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
137,False,"{'a': 0.5, 'e': 0.989726401043868}",30,0,-99.43877953363815,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9895761361813386}",25,0,-25.22535376783924,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.9894247861290761}",25,0,-178.77248461557696,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.9892723510530543}",20,0,-90.08586804207877,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9891188311204365}",30,0,-106.47667749201459,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.9889642264995759}",25,0,-97.26336052978434,"{0: 11, 1: 6, 2: 8, 3: 0, 4: 0}",0
